,lat,lon,timestamp,amenity,name,tags
0,49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,Best Bite Indian Cuisine,"{'addr:housenumber': '10-3891', 'phone': '+1-604-370-4949', 'cuisine': 'indian', 'addr:street': 'Chatham Street', 'addr:postcode': 'V7E 2Z6', 'addr:city': 'Richmond'}"
1,49.1712762,-123.1348734,2019-10-27T17:08:25.000-07:00,restaurant,Oriental Rice Noodle,"{'addr:housenumber': '8100', 'phone': '+1-604-370-3738', 'opening_hours': 'Su-Th 11:00-22:30; Fr-Sa 11:00-23:00', 'cuisine': 'chinese', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond', 'name:zh': '雲尚過橋米線'}"
2,49.1327053,-123.0991859,2019-08-24T15:12:34.000-07:00,restaurant,Nando's,"{'brand:wikidata': 'Q3472954', 'cuisine': 'chicken;portuguese', 'brand': ""Nando's"", 'brand:wikipedia': ""en:Nando's""}"
3,49.1330103,-123.0955358,2019-08-24T15:12:34.000-07:00,restaurant,Boston Pizza,"{'brand:wikidata': 'Q894578', 'cuisine': 'pizza', 'brand': 'Boston Pizza', 'brand:wikipedia': 'en:Boston Pizza', 'addr:unit': '2000'}"
4,49.2665754,-123.103744,2018-10-26T20:30:44.000-07:00,restaurant,Peaceful Restaurant,"{'opening_hours': 'Su-Th 11:00-21:30; Fr-Sa 11:00-22:00', 'addr:housenumber': '43', 'website': 'http://www.peacefulrestaurant.com', 'addr:street': 'East 5th Avenue', 'phone': '+1-604-559-9511'}"
5,49.2779185,-122.912361,2019-11-14T08:54:00.000-08:00,restaurant,Pho 99,"{'addr:housenumber': '8901', 'addr:street': 'Cornerstone Mews'}"
6,49.281302,-123.0575579,2019-09-13T13:57:03.000-07:00,restaurant,Tacofino Commissary,"{'addr:housenumber': '2327', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
7,49.2812984,-123.0573443,2019-09-13T13:57:03.000-07:00,restaurant,Miyako Sushi,"{'addr:housenumber': '2341', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
8,49.2812866,-123.0550913,2019-09-13T13:57:03.000-07:00,restaurant,What's Up? Hot Dog!,"{'addr:housenumber': '2481', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
9,49.2832655,-123.0978958,2019-09-13T13:57:03.000-07:00,restaurant,St Lawrence Restaurant,"{'addr:housenumber': '269', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
10,49.2832876,-123.0980745,2019-09-13T13:57:03.000-07:00,restaurant,Cuhillo,"{'addr:housenumber': '261', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
11,49.2796054,-123.1002799,2019-09-13T13:57:03.000-07:00,restaurant,Juniper,"{'addr:housenumber': '185', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}"
12,49.2796207,-123.1011093,2019-09-13T13:57:04.000-07:00,restaurant,Gold Stone Bakery & Restaurant,"{'addr:housenumber': '139', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}"
13,49.2831638,-123.1035309,2019-09-13T13:57:04.000-07:00,restaurant,The Sardine Can,"{'addr:housenumber': '26', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
14,49.2834234,-123.1064112,2019-09-13T13:57:04.000-07:00,restaurant,Jules Bistro,"{'addr:housenumber': '216', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}"
15,49.2427766,-123.0040514,2018-04-28T05:57:25.000-07:00,restaurant,Crystal Palace,{'cuisine': 'chinese'}
16,49.1720953,-123.1336083,2019-09-13T13:57:04.000-07:00,restaurant,Tokyo Joe's,"{'addr:housenumber': '8211', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond'}"
17,49.325981,-123.1423367,2020-05-29T04:38:32.000-07:00,restaurant,Cactus Club Cafe,{}
18,49.2873953,-123.1288386,2019-10-24T00:55:34.000-07:00,restaurant,JoongWon,"{'addr:housenumber': '1329', 'addr:street': 'Robson Street'}"
19,49.287665,-123.1292506,2016-07-27T15:29:41.000-07:00,restaurant,Stepho's,"{'cuisine': 'greek', 'addr:street': 'Robson Street'}"
20,49.2875709,-123.1291089,2019-10-24T00:55:34.000-07:00,restaurant,Hon's Wun-Tun House,"{'cuisine': 'chinese', 'addr:housenumber': '1339', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}"
21,49.2873728,-123.1282271,2019-10-29T03:23:55.000-07:00,restaurant,miss KOREAN BBQ,"{'addr:housenumber': '793', 'addr:street': 'Jervis Street', 'addr:city': 'Vancouver'}"
22,49.2871553,-123.1290789,2019-03-22T02:54:41.000-07:00,restaurant,Forage,"{'opening_hours': '24/7', 'website': 'https://foragevancouver.com/', 'addr:street': 'Robson Street', 'phone': '+1-604-661-1400'}"
23,49.2870445,-123.128902,2019-09-18T23:00:49.000-07:00,restaurant,Timber,"{'opening_hours': 'Mo-Th 12:00-00:00; Fr 12:00-01:00; Sa 11:00-01:00; Su 11:00-00:00', 'cuisine': 'american', 'addr:housenumber': '1300', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}"
24,49.2874858,-123.1289807,2019-10-24T00:55:34.000-07:00,restaurant,Miko Sushi,"{'addr:housenumber': '1335', 'phone': '+1-604-681-0339', 'smoking': 'no', 'opening_hours': 'Mo-Fr 11:30-14:00,17:00-21:30; Sa 17:00-21:30', 'cuisine': 'japanese;sushi', 'outdoor_seating': 'no', 'addr:street': 'Robson Street', 'addr:postcode': 'V6E 1C6', 'addr:city': 'Vancouver'}"
